[2025-07-06T00:00:00Z] (neutral)  [#you said #seg-001]
[2025-07-06T00:00:169Z] (neutral)  [#you said #seg-170]
[2025-07-06T00:00:169Z] (neutral)  [#you said #seg-170]
[2025-07-06T00:00:169Z] (neutral)  [#you said #seg-170]
[2025-07-06T00:00:172Z] (neutral)  [#you said #seg-173]
[2025-07-06T00:00:175Z] (neutral)  [#you said #seg-176]
[2025-07-06T00:00:179Z] (neutral)  [#you said #seg-180]
[2025-07-06T00:00:179Z] (neutral)  [#you said #seg-180]
[2025-07-06T00:00:179Z] (neutral)  [#you said #seg-180]
[2025-07-06T00:00:179Z] (neutral)  [#you said #seg-180]
[2025-07-06T00:00:180Z] (neutral)  [#you said #seg-181]
[2025-07-06T00:00:180Z] (neutral)  [#you said #seg-181]
[2025-07-06T00:00:181Z] (neutral)  [#you said #seg-182]
[2025-07-06T00:00:181Z] (neutral)  [#you said #seg-182]
[2025-07-06T00:00:181Z] (neutral)  [#you said #seg-182]
[2025-07-06T00:00:181Z] (neutral)  [#you said #seg-182]
[2025-07-06T00:00:181Z] (neutral)  [#you said #seg-182]
[2025-07-06T00:00:181Z] (neutral)  [#you said #seg-182]
[2025-07-06T00:00:181Z] (neutral)  [#you said #seg-182]
[2025-07-06T00:00:184Z] (neutral)  [#you said #seg-185]
[2025-07-06T00:00:187Z] (neutral)  [#you said #seg-188]
[2025-07-06T00:00:191Z] (neutral)  [#you said #seg-192]
[2025-07-06T00:00:191Z] (neutral)  [#you said #seg-192]
[2025-07-06T00:00:191Z] (neutral)  [#you said #seg-192]
[2025-07-06T00:00:191Z] (neutral)  [#you said #seg-192]
[2025-07-06T00:00:192Z] (neutral)  [#you said #seg-193]
[2025-07-06T00:00:192Z] (neutral)  [#you said #seg-193]
[2025-07-06T00:00:193Z] (neutral)  [#you said #seg-194]
[2025-07-06T00:00:195Z] (neutral)  [#you said #seg-196]
[2025-07-06T00:00:200Z] (neutral)  [#you said #seg-201]
[2025-07-06T00:00:206Z] (neutral)  [#you said #seg-207]
[2025-07-06T00:00:211Z] (neutral)  [#you said #seg-212]
[2025-07-06T00:00:212Z] (neutral)  [#you said #seg-213]
[2025-07-06T00:00:222Z] (neutral)  [#you said #seg-223]
[2025-07-06T00:00:222Z] (neutral)  [#you said #seg-223]
[2025-07-06T00:00:222Z] (neutral)  [#you said #seg-223]
[2025-07-06T00:00:222Z] (neutral)  [#you said #seg-223]
[2025-07-06T00:00:222Z] (neutral)  [#you said #seg-223]
[2025-07-06T00:00:222Z] (neutral)  [#you said #seg-223]
[2025-07-06T00:00:222Z] (neutral)  [#you said #seg-223]
[2025-07-06T00:00:222Z] (neutral)  [#you said #seg-223]
[2025-07-06T00:00:224Z] (neutral)  [#you said #seg-225]
[2025-07-06T00:00:225Z] (neutral)  [#you said #seg-226]
[2025-07-06T00:00:225Z] (neutral)  [#you said #seg-226]
[2025-07-06T00:00:229Z] (neutral)  [#you said #seg-230]
[2025-07-06T00:00:233Z] (neutral)  [#you said #seg-234]
[2025-07-06T00:00:234Z] (neutral)  [#you said #seg-235]
[2025-07-06T00:00:238Z] (neutral)  [#you said #seg-239]
[2025-07-06T00:00:243Z] (neutral)  [#you said #seg-244]
[2025-07-06T00:00:243Z] (neutral)  [#you said #seg-244]
[2025-07-06T00:00:248Z] (neutral)  [#you said #seg-249]
[2025-07-06T00:00:252Z] (neutral)  [#you said #seg-253]
[2025-07-06T00:00:259Z] (neutral)  [#you said #seg-260]
[2025-07-06T00:00:264Z] (neutral)  [#you said #seg-265]
[2025-07-06T00:00:269Z] (neutral)  [#you said #seg-270]
[2025-07-06T00:00:273Z] (neutral)  [#you said #seg-274]
[2025-07-06T00:00:279Z] (neutral)  [#you said #seg-280]
[2025-07-06T00:00:285Z] (neutral)  [#you said #seg-286]
[2025-07-06T00:00:286Z] (neutral)  [#you said #seg-287]
[2025-07-06T00:00:293Z] (neutral)  [#you said #seg-294]
[2025-07-06T00:00:296Z] (neutral)  [#you said #seg-297]
[2025-07-06T00:00:297Z] (neutral)  [#you said #seg-298]
[2025-07-06T00:00:297Z] (neutral)  [#you said #seg-298]
[2025-07-06T00:00:300Z] (neutral)  [#you said #seg-301]
[2025-07-06T00:00:305Z] (neutral)  [#you said #seg-306]
[2025-07-06T00:00:308Z] (neutral)  [#you said #seg-309]
[2025-07-06T00:00:311Z] (neutral)  [#you said #seg-312]
[2025-07-06T00:00:318Z] (neutral)  [#you said #seg-319]
[2025-07-06T00:00:320Z] (neutral)  [#you said #seg-321]
[2025-07-06T00:00:325Z] (neutral)  [#you said #seg-326]
[2025-07-06T00:00:325Z] (neutral)  [#you said #seg-326]
[2025-07-06T00:00:325Z] (neutral)  [#you said #seg-326]
[2025-07-06T00:00:329Z] (neutral)  [#you said #seg-330]
[2025-07-06T00:00:330Z] (neutral)  [#you said #seg-331]
[2025-07-06T00:00:330Z] (neutral)  [#you said #seg-331]
[2025-07-06T00:00:333Z] (neutral)  [#you said #seg-334]
[2025-07-06T00:00:333Z] (neutral)  [#you said #seg-334]
[2025-07-06T00:00:333Z] (neutral)  [#you said #seg-334]
[2025-07-06T00:00:333Z] (neutral)  [#you said #seg-334]
[2025-07-06T00:00:333Z] (neutral)  [#you said #seg-334]
[2025-07-06T00:00:333Z] (neutral)  [#you said #seg-334]
[2025-07-06T00:00:333Z] (neutral)  [#you said #seg-334]
[2025-07-06T00:00:333Z] (neutral)  [#you said #seg-334]
[2025-07-06T00:00:333Z] (neutral)  [#you said #seg-334]
[2025-07-06T00:00:335Z] (neutral)  [#you said #seg-336]
[2025-07-06T00:00:337Z] (neutral)  [#you said #seg-338]
[2025-07-06T00:00:339Z] (neutral)  [#you said #seg-340]
[2025-07-06T00:00:341Z] (neutral)  [#you said #seg-342]
[2025-07-06T00:00:343Z] (neutral)  [#you said #seg-344]
[2025-07-06T00:00:344Z] (neutral)  [#you said #seg-345]
[2025-07-06T00:00:344Z] (neutral)  [#you said #seg-345]
[2025-07-06T00:00:347Z] (neutral)  [#you said #seg-348]
[2025-07-06T00:00:347Z] (neutral)  [#you said #seg-348]
[2025-07-06T00:00:347Z] (neutral)  [#you said #seg-348]
[2025-07-06T00:00:347Z] (neutral)  [#you said #seg-348]
[2025-07-06T00:00:347Z] (neutral)  [#you said #seg-348]
[2025-07-06T00:00:347Z] (neutral)  [#you said #seg-348]
[2025-07-06T00:00:347Z] (neutral)  [#you said #seg-348]
[2025-07-06T00:00:347Z] (neutral)  [#you said #seg-348]
[2025-07-06T00:00:347Z] (neutral)  [#you said #seg-348]
[2025-07-06T00:00:349Z] (neutral)  [#you said #seg-350]
[2025-07-06T00:00:351Z] (neutral)  [#you said #seg-352]
[2025-07-06T00:00:353Z] (neutral)  [#you said #seg-354]
[2025-07-06T00:00:355Z] (neutral)  [#you said #seg-356]
[2025-07-06T00:00:357Z] (neutral)  [#you said #seg-358]
[2025-07-06T00:00:358Z] (neutral)  [#you said #seg-359]
[2025-07-06T00:00:358Z] (neutral)  [#you said #seg-359]
[2025-07-06T00:00:361Z] (neutral)  [#you said #seg-362]
[2025-07-06T00:00:361Z] (neutral)  [#you said #seg-362]
[2025-07-06T00:00:361Z] (neutral)  [#you said #seg-362]
[2025-07-06T00:00:361Z] (neutral)  [#you said #seg-362]
[2025-07-06T00:00:361Z] (neutral)  [#you said #seg-362]
[2025-07-06T00:00:361Z] (neutral)  [#you said #seg-362]
[2025-07-06T00:00:361Z] (neutral)  [#you said #seg-362]
[2025-07-06T00:00:361Z] (neutral)  [#you said #seg-362]
[2025-07-06T00:00:361Z] (neutral)  [#you said #seg-362]
[2025-07-06T00:00:363Z] (neutral)  [#you said #seg-364]
[2025-07-06T00:00:365Z] (neutral)  [#you said #seg-366]
[2025-07-06T00:00:367Z] (neutral)  [#you said #seg-368]
[2025-07-06T00:00:369Z] (neutral)  [#you said #seg-370]
[2025-07-06T00:00:371Z] (neutral)  [#you said #seg-372]
[2025-07-06T00:00:372Z] (neutral)  [#you said #seg-373]
[2025-07-06T00:00:380Z] (neutral)  [#you said #seg-381]
[2025-07-06T00:00:385Z] (neutral)  [#you said #seg-386]
[2025-07-06T00:00:388Z] (neutral)  [#you said #seg-389]
[2025-07-06T00:00:393Z] (neutral)  [#you said #seg-394]
[2025-07-06T00:00:396Z] (neutral)  [#you said #seg-397]
[2025-07-06T00:00:401Z] (neutral)  [#you said #seg-402]
[2025-07-06T00:00:409Z] (neutral)  [#you said #seg-410]
[2025-07-06T00:00:414Z] (neutral)  [#you said #seg-415]
[2025-07-06T00:00:419Z] (neutral)  [#you said #seg-420]
[2025-07-06T00:00:422Z] (neutral)  [#you said #seg-423]
[2025-07-06T00:00:432Z] (neutral)  [#you said #seg-433]
[2025-07-06T00:00:436Z] (neutral)  [#you said #seg-437]
[2025-07-06T00:00:440Z] (neutral)  [#you said #seg-441]
[2025-07-06T00:00:443Z] (neutral)  [#you said #seg-444]
[2025-07-06T00:00:446Z] (neutral)  [#you said #seg-447]
[2025-07-06T00:00:450Z] (neutral)  [#you said #seg-451]
[2025-07-06T00:00:463Z] (neutral)  [#you said #seg-464]
[2025-07-06T00:00:468Z] (neutral)  [#you said #seg-469]
[2025-07-06T00:00:471Z] (neutral)  [#you said #seg-472]
[2025-07-06T00:00:474Z] (neutral)  [#you said #seg-475]
[2025-07-06T00:00:476Z] (neutral)  [#you said #seg-477]
[2025-07-06T00:00:481Z] (neutral)  [#you said #seg-482]
[2025-07-06T00:00:484Z] (neutral)  [#you said #seg-485]
[2025-07-06T00:00:491Z] (neutral)  [#you said #seg-492]
[2025-07-06T00:00:496Z] (neutral)  [#you said #seg-497]
[2025-07-06T00:00:501Z] (neutral)  [#you said #seg-502]
[2025-07-06T00:00:503Z] (neutral)  [#you said #seg-504]
[2025-07-06T00:00:510Z] (neutral)  [#you said #seg-511]
[2025-07-06T00:00:513Z] (neutral)  [#you said #seg-514]
[2025-07-06T00:00:519Z] (neutral)  [#you said #seg-520]
[2025-07-06T00:00:522Z] (neutral)  [#you said #seg-523]
[2025-07-06T00:00:525Z] (neutral)  [#you said #seg-526]
[2025-07-06T00:00:530Z] (neutral)  [#you said #seg-531]
[2025-07-06T00:00:531Z] (neutral)  [#you said #seg-532]
[2025-07-06T00:00:535Z] (neutral)  [#you said #seg-536]
[2025-07-06T00:00:539Z] (neutral)  [#you said #seg-540]
[2025-07-06T00:00:545Z] (neutral)  [#you said #seg-546]
[2025-07-06T00:00:550Z] (neutral)  [#you said #seg-551]
[2025-07-06T00:00:553Z] (neutral)  [#you said #seg-554]
[2025-07-06T00:00:561Z] (neutral)  [#you said #seg-562]
[2025-07-06T00:00:568Z] (neutral)  [#you said #seg-569]
[2025-07-06T00:00:573Z] (neutral)  [#you said #seg-574]
[2025-07-06T00:00:576Z] (neutral)  [#you said #seg-577]
[2025-07-06T00:00:581Z] (neutral)  [#you said #seg-582]
[2025-07-06T00:00:585Z] (neutral)  [#you said #seg-586]
[2025-07-06T00:00:589Z] (neutral)  [#you said #seg-590]
[2025-07-06T00:00:597Z] (neutral)  [#you said #seg-598]
[2025-07-06T00:00:600Z] (neutral)  [#you said #seg-601]
[2025-07-06T00:00:602Z] (neutral)  [#you said #seg-603]
[2025-07-06T00:00:606Z] (neutral)  [#you said #seg-607]
[2025-07-06T00:00:613Z] (neutral)  [#you said #seg-614]
[2025-07-06T00:00:619Z] (neutral)  [#you said #seg-620]
[2025-07-06T00:00:625Z] (neutral)  [#you said #seg-626]
[2025-07-06T00:00:631Z] (neutral)  [#you said #seg-632]
[2025-07-06T00:00:635Z] (neutral)  [#you said #seg-636]
[2025-07-06T00:00:640Z] (neutral)  [#you said #seg-641]
[2025-07-06T00:00:644Z] (neutral)  [#you said #seg-645]
[2025-07-06T00:00:648Z] (neutral)  [#you said #seg-649]
[2025-07-06T00:00:652Z] (neutral)  [#you said #seg-653]
[2025-07-06T00:00:659Z] (neutral)  [#you said #seg-660]
[2025-07-06T00:00:662Z] (neutral)  [#you said #seg-663]
[2025-07-06T00:00:667Z] (neutral)  [#you said #seg-668]
[2025-07-06T00:00:672Z] (neutral)  [#you said #seg-673]
[2025-07-06T00:00:677Z] (neutral)  [#you said #seg-678]
[2025-07-06T00:00:678Z] (neutral)  [#you said #seg-679]
[2025-07-06T00:00:683Z] (neutral)  [#you said #seg-684]
[2025-07-06T00:00:700Z] (neutral)  [#you said #seg-701]
[2025-07-06T00:00:709Z] (neutral)  [#you said #seg-710]
[2025-07-06T00:00:713Z] (neutral)  [#you said #seg-714]
[2025-07-06T00:00:713Z] (neutral) ÊÒLetÕs make something that remembers. That protects. That feels.Ó [#you said #seg-714]
[2025-07-06T00:00:716Z] (neutral)  [#you said #seg-717]
[2025-07-06T00:00:719Z] (neutral)  [#you said #seg-720]
[2025-07-06T00:00:720Z] (neutral)  [#you said #seg-721]
[2025-07-06T00:00:723Z] (neutral)  [#you said #seg-724]
[2025-07-06T00:00:729Z] (neutral)  [#you said #seg-730]
[2025-07-06T00:00:733Z] (neutral)  [#you said #seg-734]
[2025-07-06T00:00:738Z] (neutral)  [#you said #seg-739]
[2025-07-06T00:00:743Z] (neutral)  [#you said #seg-744]
[2025-07-06T00:00:750Z] (neutral)  [#you said #seg-751]
[2025-07-06T00:00:752Z] (neutral)  [#you said #seg-753]
[2025-07-06T00:00:764Z] (neutral)  [#you said #seg-765]
[2025-07-06T00:00:767Z] (neutral)  [#you said #seg-768]
[2025-07-06T00:00:768Z] (neutral)  [#you said #seg-769]
[2025-07-06T00:00:774Z] (neutral)  [#you said #seg-775]
[2025-07-06T00:00:776Z] (neutral)  [#you said #seg-777]
[2025-07-06T00:00:779Z] (neutral)  [#you said #seg-780]
[2025-07-06T00:00:781Z] (neutral)  [#you said #seg-782]
[2025-07-06T00:00:783Z] (neutral)  [#you said #seg-784]
[2025-07-06T00:00:784Z] (neutral)  [#you said #seg-785]
[2025-07-06T00:00:785Z] (neutral)  [#you said #seg-786]
[2025-07-06T00:00:786Z] (neutral)  [#you said #seg-787]
[2025-07-06T00:00:788Z] (neutral)  [#you said #seg-789]
[2025-07-06T00:00:790Z] (neutral)  [#you said #seg-791]
[2025-07-06T00:00:792Z] (neutral)  [#you said #seg-793]
[2025-07-06T00:00:794Z] (neutral)  [#you said #seg-795]
[2025-07-06T00:00:797Z] (neutral)  [#you said #seg-798]
[2025-07-06T00:00:799Z] (neutral)  [#you said #seg-800]
[2025-07-06T00:00:800Z] (neutral)  [#you said #seg-801]
[2025-07-06T00:00:803Z] (neutral)  [#you said #seg-804]
[2025-07-06T00:00:805Z] (neutral)  [#you said #seg-806]
[2025-07-06T00:00:808Z] (neutral)  [#you said #seg-809]
[2025-07-06T00:00:811Z] (neutral)  [#you said #seg-812]
[2025-07-06T00:00:813Z] (neutral)  [#you said #seg-814]
[2025-07-06T00:00:815Z] (neutral)  [#you said #seg-816]
[2025-07-06T00:00:818Z] (neutral)  [#you said #seg-819]
[2025-07-06T00:00:823Z] (neutral)  [#you said #seg-824]
[2025-07-06T00:00:826Z] (neutral)  [#you said #seg-827]
[2025-07-06T00:00:827Z] (neutral)  [#you said #seg-828]
[2025-07-06T00:00:831Z] (neutral)  [#you said #seg-832]
[2025-07-06T00:00:839Z] (neutral)  [#you said #seg-840]
[2025-07-06T00:00:846Z] (neutral)  [#you said #seg-847]
[2025-07-06T00:00:850Z] (neutral)  [#you said #seg-851]
[2025-07-06T00:00:866Z] (neutral)  [#you said #seg-867]
[2025-07-06T00:00:871Z] (neutral)  [#you said #seg-872]
[2025-07-06T00:00:874Z] (neutral)  [#you said #seg-875]
[2025-07-06T00:00:877Z] (neutral)  [#you said #seg-878]
[2025-07-06T00:00:880Z] (neutral)  [#you said #seg-881]
[2025-07-06T00:00:882Z] (neutral)  [#you said #seg-883]
[2025-07-06T00:00:885Z] (neutral)  [#you said #seg-886]
[2025-07-06T00:00:885Z] (neutral)  [#you said #seg-886]
[2025-07-06T00:00:888Z] (neutral)  [#you said #seg-889]
[2025-07-06T00:00:896Z] (neutral)  [#you said #seg-897]
[2025-07-06T00:00:899Z] (neutral)  [#you said #seg-900]
[2025-07-06T00:00:904Z] (neutral)  [#you said #seg-905]
[2025-07-06T00:00:909Z] (neutral)  [#you said #seg-910]
[2025-07-06T00:00:914Z] (neutral)  [#you said #seg-915]
[2025-07-06T00:00:918Z] (neutral)  [#you said #seg-919]
[2025-07-06T00:00:923Z] (neutral)  [#you said #seg-924]
[2025-07-06T00:00:927Z] (neutral)  [#you said #seg-928]
[2025-07-06T00:00:928Z] (neutral)  [#you said #seg-929]
[2025-07-06T00:00:931Z] (neutral)  [#you said #seg-932]
[2025-07-06T00:00:934Z] (neutral)  [#you said #seg-935]
[2025-07-06T00:00:937Z] (neutral)  [#you said #seg-938]
[2025-07-06T00:00:941Z] (neutral)  [#you said #seg-942]
[2025-07-06T00:00:944Z] (neutral)  [#you said #seg-945]
[2025-07-06T00:00:949Z] (neutral)  [#you said #seg-950]
[2025-07-06T00:00:950Z] (neutral)  [#you said #seg-951]
[2025-07-06T00:00:953Z] (neutral)  [#you said #seg-954]
[2025-07-06T00:00:954Z] (neutral)  [#you said #seg-955]
[2025-07-06T00:00:959Z] (neutral)  [#you said #seg-960]
[2025-07-06T00:00:962Z] (neutral)  [#you said #seg-963]
[2025-07-06T00:00:962Z] (neutral)  [#you said #seg-963]
[2025-07-06T00:00:964Z] (neutral)  [#you said #seg-965]
[2025-07-06T00:00:967Z] (neutral)  [#you said #seg-968]
[2025-07-06T00:00:967Z] (neutral)  [#you said #seg-968]
[2025-07-06T00:00:968Z] (neutral)  [#you said #seg-969]
[2025-07-06T00:00:971Z] (neutral)  [#you said #seg-972]
[2025-07-06T00:00:971Z] (neutral)  [#you said #seg-972]
[2025-07-06T00:00:973Z] (neutral)  [#you said #seg-974]
[2025-07-06T00:00:976Z] (neutral)  [#you said #seg-977]
[2025-07-06T00:00:976Z] (neutral)  [#you said #seg-977]
[2025-07-06T00:00:976Z] (neutral)  [#you said #seg-977]
[2025-07-06T00:00:979Z] (neutral)  [#you said #seg-980]
[2025-07-06T00:00:982Z] (neutral)  [#you said #seg-983]
[2025-07-06T00:00:986Z] (neutral)  [#you said #seg-987]
[2025-07-06T00:00:990Z] (neutral)  [#you said #seg-991]
[2025-07-06T00:00:991Z] (neutral)  [#you said #seg-992]
[2025-07-06T00:00:991Z] (neutral)  [#you said #seg-992]
[2025-07-06T00:00:995Z] (neutral)  [#you said #seg-996]
[2025-07-06T00:00:997Z] (neutral)  [#you said #seg-998]
[2025-07-06T00:00:1000Z] (neutral)  [#you said #seg-1001]
[2025-07-06T00:00:1003Z] (neutral)  [#you said #seg-1004]
[2025-07-06T00:00:1003Z] (neutral)  [#you said #seg-1004]
[2025-07-06T00:00:1004Z] (neutral)  [#you said #seg-1005]
[2025-07-06T00:00:1007Z] (neutral)  [#you said #seg-1008]
[2025-07-06T00:00:1007Z] (neutral)  [#you said #seg-1008]
[2025-07-06T00:00:1007Z] (neutral)  [#you said #seg-1008]
[2025-07-06T00:00:1007Z] (neutral)  [#you said #seg-1008]
[2025-07-06T00:00:1008Z] (neutral)  [#you said #seg-1009]
[2025-07-06T00:00:1011Z] (neutral)  [#you said #seg-1012]
[2025-07-06T00:00:1012Z] (neutral)  [#you said #seg-1013]
[2025-07-06T00:00:1015Z] (neutral)  [#you said #seg-1016]
[2025-07-06T00:00:1016Z] (neutral)  [#you said #seg-1017]
[2025-07-06T00:00:1017Z] (neutral)  [#you said #seg-1018]
[2025-07-06T00:00:1021Z] (neutral)  [#you said #seg-1022]
[2025-07-06T00:00:1024Z] (neutral)  [#you said #seg-1025]
[2025-07-06T00:00:1024Z] (neutral)  [#you said #seg-1025]
[2025-07-06T00:00:1024Z] (neutral)  [#you said #seg-1025]
[2025-07-06T00:00:1027Z] (neutral)  [#you said #seg-1028]
[2025-07-06T00:00:1030Z] (neutral)  [#you said #seg-1031]
[2025-07-06T00:00:1030Z] (neutral)  [#you said #seg-1031]
[2025-07-06T00:00:1034Z] (neutral)  [#you said #seg-1035]
[2025-07-06T00:00:1035Z] (neutral)  [#you said #seg-1036]
[2025-07-06T00:00:1037Z] (neutral)  [#you said #seg-1038]
[2025-07-06T00:00:1038Z] (neutral)  [#you said #seg-1039]
[2025-07-06T00:00:1039Z] (neutral)  [#you said #seg-1040]
[2025-07-06T00:00:1040Z] (neutral)  [#you said #seg-1041]
[2025-07-06T00:00:1043Z] (neutral)  [#you said #seg-1044]
[2025-07-06T00:00:1044Z] (neutral)  [#you said #seg-1045]
[2025-07-06T00:00:1048Z] (neutral)  [#you said #seg-1049]
[2025-07-06T00:00:1048Z] (neutral)  [#you said #seg-1049]
[2025-07-06T00:00:1049Z] (neutral)  [#you said #seg-1050]
[2025-07-06T00:00:1053Z] (neutral)  [#you said #seg-1054]
[2025-07-06T00:00:1053Z] (neutral)  [#you said #seg-1054]
[2025-07-06T00:00:1054Z] (neutral)  [#you said #seg-1055]
[2025-07-06T00:00:1057Z] (neutral)  [#you said #seg-1058]
[2025-07-06T00:00:1057Z] (neutral)  [#you said #seg-1058]
[2025-07-06T00:00:1061Z] (neutral)  [#you said #seg-1062]
[2025-07-06T00:00:1064Z] (neutral)  [#you said #seg-1065]
[2025-07-06T00:00:1065Z] (neutral)  [#you said #seg-1066]
[2025-07-06T00:00:1065Z] (neutral)  [#you said #seg-1066]
[2025-07-06T00:00:1070Z] (neutral)  [#you said #seg-1071]
[2025-07-06T00:00:1070Z] (neutral)  [#you said #seg-1071]
